label	best loss	perplexity	final train	r	epochs	lr	steps	timestamp
0ac53a30	1.511	4.53	1.494	32	3	2e-04	2676	2026-06-26 23:33:19
175462d7	1.846	6.33	1.976	32	3	2e-04	2676	2026-06-27 05:16:10
